cue,target,correct
DC,--<--,z
SC,<<<<<,z
NC,<<<<<,z
NC,--<--,z
CC,--<--,z
CC,>><>>,z
DC,<<><<,m
DC,>>>>>,m
SC,-->--,m
SC,<<><<,m
NC,<<><<,m
CC,>>>>>,m
